"Subcategory name","GUID","Purpose"
"Account Lockout","`{0CCE9217-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","Enables you to audit security events that are generated by a failed attempt to log on to an account that is locked out."
"User/Device Claims","`{0cce9247-69ae-11d9-bed3-505054503030}` footnoteref:[guid_ref]","Allows you to audit user and device claims information in the account’s logon token. Events in this subcategory are generated on the computer on which a logon session is created. For an interactive logon, the security audit event is generated on the computer that the user logged on to."
"IPsec Extended Mode","`{0CCE921A-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","Allows you to audit events generated by Internet Key Exchange protocol (IKE) and Authenticated Internet Protocol (AuthIP) during Extended Mode negotiations."
"Group Membership","`{0cce9249-69ae-11d9-bed3-505054503030}` footnoteref:[guid_ref]","Allows you to audit the group membership information in the user's logon token. Events in this subcategory are generated on the computer on which a logon session is created."
"IPsec Main Mode","`{0CCE9218-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","Allows you to audit events generated by Internet Key Exchange protocol (IKE) and Authenticated Internet Protocol (AuthIP) during Main Mode negotiations."
"IPsec Quick Mode","`{0CCE9219-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","Allows you to audit events generated by Internet Key Exchange protocol (IKE) and Authenticated Internet Protocol (AuthIP) during Quick Mode negotiations."
"Logoff","`{0CCE9216-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","Determines whether the operating system generates audit events when logon sessions are terminated."
"Logon","`{0CCE9215-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","Determines whether the operating system generates audit events when a user attempts to log on to a computer."
"Network Policy Server","`{0CCE9243-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","Allows you to audit events generated by RADIUS (IAS) and Network Access Protection (NAP) activity related to user access requests. These requests can be Grant, Deny, Discard, Quarantine, Lock, and Unlock."
"Other Logon/Logoff Events","`{0CCE921C-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","Determines whether Windows generates audit events for other logon or logoff events."
"Special Logon","`{0CCE921B-69AE-11D9-BED3-505054503030}` footnoteref:[guid_ref]","Determines whether the operating system generates audit events under special sign on (or log on) circumstances."